Province,Jan 2015,Feb 2015,Mar 2015,Apr 2015,May 2015,Jun 2015,Jul 2015,Aug 2015,Sep 2015,Oct 2015,Nov 2015,Dec 2015,Jan 2016,Feb 2016,Mar 2016,Apr 2016,May 2016,Jun 2016,Jul 2016,Aug 2016,Sep 2016,Oct 2016,Nov 2016,Dec 2016,Jan 2017,Feb 2017,Mar 2017,Apr 2017,May 2017,Jun 2017,Jul 2017,Aug 2017,Sep 2017,Oct 2017,Nov 2017,Dec 2017,Jan 2018,Feb 2018,Mar 2018,Apr 2018,May 2018,Jun 2018,Jul 2018,Aug 2018,Sep 2018,Oct 2018,Nov 2018,Dec 2018,Jan 2019,Feb 2019,Mar 2019,Apr 2019,May 2019,Jun 2019,Jul 2019,Aug 2019,Sep 2019,Oct 2019,Nov 2019,Dec 2019,Jan 2020,Feb 2020,Mar 2020,Apr 2020,May 2020,Jun 2020,Jul 2020,Aug 2020,Sep 2020,Oct 2020,Nov 2020,Dec 2020,Jan 2021,Feb 2021,Mar 2021,Apr 2021,May 2021,Jun 2021,Jul 2021,Aug 2021,Sep 2021,Oct 2021,Nov 2021,Dec 2021,Jan 2022,Feb 2022,Mar 2022,Apr 2022,May 2022,Jun 2022,Jul 2022,Aug 2022,Sep 2022,Oct 2022,Nov 2022,Dec 2022,Jan 2023,Feb 2023,Mar 2023,Apr 2023,May 2023,Jun 2023,Jul 2023,Aug 2023,Sep 2023,Oct 2023
Newfoundland and Labrador Total,120,85,135,125,120,115,125,180,160,175,215,120,155,140,155,235,170,165,175,210,190,140,160,110,105,105,115,125,135,125,135,215,185,185,180,130,165,150,115,140,135,150,190,185,180,145,165,120,170,140,155,160,190,150,165,140,200,160,155,180,140,155,80,95,115,70,80,65,95,185,140,210,175,210,145,125,140,160,155,205,185,170,150,140,130,135,130,175,310,385,300,295,430,545,415,495,400,420,560,355,375,320,405,400,410,400
Prince Edward Island Total,30,20,30,35,35,35,35,40,35,40,40,40,45,50,60,75,60,80,85,65,50,75,80,70,55,75,80,80,75,75,90,140,105,100,70,55,90,100,95,85,110,135,235,135,125,85,75,80,110,75,85,115,160,150,105,155,215,200,140,250,165,100,75,90,90,95,65,70,115,195,170,205,245,205,215,185,225,235,225,195,210,185,120,120,135,150,190,150,215,205,200,340,255,300,255,190,250,270,265,345,380,275,445,370,345,300
Nova Scotia Total,190,160,200,185,215,225,170,235,305,320,350,260,250,285,345,365,370,365,365,355,330,280,305,255,265,275,235,235,300,355,430,425,395,400,340,250,345,280,250,280,395,430,500,395,405,335,305,230,385,275,300,405,610,585,375,540,640,535,465,430,555,360,245,505,410,345,300,250,320,"1,230",850,760,735,"1,060",815,515,505,690,845,890,620,525,490,375,400,410,470,490,670,"1,045",830,"1,025","1,090","1,365","1,115",920,"1,065","1,095","1,385","1,435","1,815","2,005","1,325","1,275","1,185","1,165"
New Brunswick Total,120,70,125,95,120,160,115,95,155,180,175,125,105,125,160,170,160,185,175,180,140,155,140,120,115,100,125,135,155,165,160,200,240,225,180,160,165,150,140,215,210,235,270,260,225,200,175,160,250,165,150,210,315,295,240,315,265,330,240,215,255,200,160,165,180,290,245,175,165,345,510,370,340,370,400,295,315,285,355,540,905,360,305,370,255,265,345,385,470,625,505,645,710,680,735,675,615,710,905,930,925,765,"1,140","1,335","1,025",985
Quebec Total,"2,515","1,815","2,290","2,880","2,815","3,130","2,750","3,015","2,875","2,825","2,300","1,750","2,710","2,315","3,020","3,395","3,140","3,885","3,115","3,345","2,835","2,410","2,040","1,870","2,895","2,590","3,205","3,390","3,930","4,300","3,350","3,990","3,575","3,580","2,600","2,215","3,980","3,335","3,200","3,600","3,675","4,345","4,120","4,280","3,730","3,425","3,080","2,215","4,470","3,565","3,640","4,330","5,790","5,210","4,500","5,195","5,065","4,655","4,475","3,510","4,885","4,690","2,875","1,960","2,845","2,380","2,465","2,220","3,340","4,395","5,710","5,915","6,630","5,510","5,275","4,025","4,145","4,285","4,275","4,860","4,970","4,530","4,835","3,860","3,855","3,955","4,905","4,145","4,430","5,375","5,330","6,880","5,735","5,165","5,475","5,160","5,300","5,535","6,505","5,690","6,765","5,950","6,660","7,555","7,725","7,250"
Ontario Total,"4,590","3,640","4,575","4,840","4,610","5,695","4,780","5,380","7,210","6,970","6,635","4,380","5,605","5,365","6,755","8,000","6,570","9,405","8,840","7,360","5,810","5,700","6,335","4,655","4,855","5,175","6,110","5,920","6,470","8,315","7,000","9,725","9,160","8,255","7,280","5,515","7,530","6,635","6,380","6,090","7,290","10,085","13,810","9,585","8,265","7,570","9,550","7,390","9,080","6,580","6,265","8,315","13,860","13,350","7,745","10,935","15,385","12,530","11,020","13,560","10,705","7,395","5,310","8,050","6,725","5,625","4,260","4,915","5,955","15,970","14,695","18,845","14,890","13,885","14,510","8,970","9,720","15,885","14,255","17,465","12,920","9,125","7,995","8,260","10,775","9,390","9,820","10,915","13,615","17,335","15,640","19,005","22,265","21,850","20,345","18,505","24,355","22,690","28,680","28,830","29,515","27,335","29,215","29,365","28,005","32,885"
Manitoba Total,365,295,410,410,425,460,410,430,505,590,665,440,450,450,655,810,645,715,725,735,655,620,685,505,470,455,620,615,750,700,675,835,840,"1,015",730,565,875,845,600,650,875,800,945,835,870,955,900,600,900,715,615,745,"1,425","1,050",780,940,860,955,"1,205",975,995,700,495,880,910,655,510,485,725,"1,315","1,515","1,760","1,810","1,480","1,700","1,140",820,850,"1,035","1,310","1,045",945,630,580,795,665,975,990,"1,300","1,615","1,785","2,035","2,690","2,460","2,075","2,280","2,540","2,875","3,925","3,055","2,775","1,600","2,325","2,405","1,970","2,180"
Saskatchewan Total,455,310,480,590,480,530,495,525,710,735,600,410,505,575,770,845,585,710,710,685,580,495,580,390,400,475,550,520,505,500,525,700,585,550,440,420,545,435,440,475,450,525,620,640,520,485,475,405,470,425,400,485,665,525,490,530,620,635,610,445,470,370,295,335,375,325,300,300,350,580,760,860,710,750,835,485,430,500,725,665,630,540,480,335,445,385,535,565,720,930,875,"1,005","1,180","1,165",985,865,955,"1,025","1,560","1,495","1,340","1,155","1,475","1,330","1,120","1,205"
Alberta Total,"2,530","1,895","2,230","2,505","2,345","2,580","2,180","2,360","2,650","2,985","2,505","1,565","1,985","1,970","2,885","3,230","2,780","2,900","2,555","2,310","2,190","1,935","2,000","1,605","1,780","1,830","2,250","1,990","2,250","2,465","2,125","2,655","2,465","2,490","1,860","1,630","2,320","2,220","1,595","1,780","1,840","2,180","2,415","1,710","1,735","1,775","1,650","1,390","2,095","1,595","1,565","1,990","2,640","2,325","1,660","2,230","2,435","2,155","2,175","1,740","1,855","1,460","1,075","1,160","1,485","1,035",900,930,"1,225","2,395","2,445","2,365","2,595","2,420","2,415","1,530","1,750","1,945","2,340","2,825","1,885","1,590","1,570","1,395","1,605","1,450","1,835","2,255","2,885","3,695","3,365","3,745","4,510","4,300","4,115","3,670","4,300","5,050","7,780","4,560","4,595","4,485","5,365","5,415","4,940","5,185"
British Columbia Total,"2,975","2,340","2,805","2,700","2,580","2,870","3,250","2,970","3,295","3,935","3,425","2,225","3,010","2,610","3,825","4,115","3,855","4,645","3,940","3,605","3,355","3,385","3,405","2,380","2,930","3,100","3,445","2,930","3,880","4,085","3,675","4,455","3,990","4,170","3,750","3,685","4,275","4,105","3,540","3,940","3,945","4,595","4,955","4,255","5,240","4,175","4,095","2,960","4,515","3,335","4,530","4,635","6,110","5,605","4,170","4,920","9,440","5,305","5,230","4,420","5,005","3,890","2,750","3,395","2,935","2,360","1,950","2,795","3,295","6,175","6,035","7,015","6,755","7,590","7,090","4,190","4,670","4,620","5,480","6,610","5,435","4,590","4,640","4,090","5,170","4,630","4,745","4,845","5,350","7,265","7,635","8,070","8,320","7,770","7,420","6,835","7,485","8,760","9,355","8,925","9,730","7,850","10,185","12,220","12,730","10,330"
